Date,Stock,Dividend,Date,Date_YYYYMMDD
2013-06-06,TCS.NS,6.5,2013-06-06,20130606
2013-07-29,TCS.NS,2.0,2013-07-29,20130729
2013-10-25,TCS.NS,2.0,2013-10-25,20131025
2014-01-27,TCS.NS,2.0,2014-01-27,20140127
2014-06-06,TCS.NS,10.0,2014-06-06,20140606
2014-07-28,TCS.NS,2.5,2014-07-28,20140728
2014-10-29,TCS.NS,2.5,2014-10-29,20141029
2015-01-27,TCS.NS,2.5,2015-01-27,20150127
2015-06-05,TCS.NS,12.0,2015-06-05,20150605
2015-07-20,TCS.NS,2.75,2015-07-20,20150720
2015-10-23,TCS.NS,2.75,2015-10-23,20151023
2016-01-21,TCS.NS,2.75,2016-01-21,20160121
2016-06-06,TCS.NS,13.5,2016-06-06,20160606
2016-07-25,TCS.NS,3.25,2016-07-25,20160725
2016-10-24,TCS.NS,3.25,2016-10-24,20161024
2017-01-23,TCS.NS,3.25,2017-01-23,20170123
2017-06-13,TCS.NS,13.75,2017-06-13,20170613
2017-07-24,TCS.NS,3.5,2017-07-24,20170724
2017-10-25,TCS.NS,3.5,2017-10-25,20171025
2018-01-22,TCS.NS,3.5,2018-01-22,20180122
2018-05-31,TCS.NS,14.5,2018-05-31,20180531
2018-07-17,TCS.NS,4.0,2018-07-17,20180717
2018-10-23,TCS.NS,4.0,2018-10-23,20181023
2019-01-17,TCS.NS,4.0,2019-01-17,20190117
2019-06-04,TCS.NS,18.0,2019-06-04,20190604
2019-07-16,TCS.NS,5.0,2019-07-16,20190716
2019-10-17,TCS.NS,40.0,2019-10-17,20191017
2020-01-23,TCS.NS,5.0,2020-01-23,20200123
2020-03-19,TCS.NS,12.0,2020-03-19,20200319
2020-06-03,TCS.NS,6.0,2020-06-03,20200603
2020-07-16,TCS.NS,5.0,2020-07-16,20200716
2020-10-14,TCS.NS,12.0,2020-10-14,20201014
2021-01-14,TCS.NS,6.0,2021-01-14,20210114
2021-05-25,TCS.NS,15.0,2021-05-25,20210525
2021-07-15,TCS.NS,7.0,2021-07-15,20210715
2021-10-14,TCS.NS,7.0,2021-10-14,20211014
2022-01-19,TCS.NS,7.0,2022-01-19,20220119
2022-05-25,TCS.NS,22.0,2022-05-25,20220525
2022-07-14,TCS.NS,8.0,2022-07-14,20220714
2022-10-17,TCS.NS,8.0,2022-10-17,20221017
2023-01-16,TCS.NS,8.0,2023-01-16,20230116
2023-06-15,TCS.NS,24.0,2023-06-15,20230615
2023-07-20,TCS.NS,9.0,2023-07-20,20230720
2023-10-19,TCS.NS,9.0,2023-10-19,20231019
2024-01-19,TCS.NS,18.0,2024-01-19,20240119
2024-05-16,TCS.NS,28.0,2024-05-16,20240516
2024-07-19,TCS.NS,10.0,2024-07-19,20240719
2024-10-18,TCS.NS,10.0,2024-10-18,20241018
2025-01-17,TCS.NS,10.0,2025-01-17,20250117
2013-08-13,MARUTI.NS,8.0,2013-08-13,20130813
2014-08-27,MARUTI.NS,12.0,2014-08-27,20140827
2015-08-26,MARUTI.NS,25.0,2015-08-26,20150826
2016-08-31,MARUTI.NS,35.0,2016-08-31,20160831
2017-08-24,MARUTI.NS,75.0,2017-08-24,20170824
2018-08-14,MARUTI.NS,80.0,2018-08-14,20180814
2018-08-16,MARUTI.NS,80.0,2018-08-16,20180816
2019-08-14,MARUTI.NS,80.0,2019-08-14,20190814
2020-08-13,MARUTI.NS,60.0,2020-08-13,20200813
