Date,Total_Assets,Total_Liabilities,EBITDA,Operating_Margin_%,Date_x,Stock,Debt_Equity_Ratio,Date_y
2020-03-31,,,,,2020-03-31,TCS.NS,,2020-03-31
2021-03-31,1307590000000.0,436510000000.0,484620000000.0,25.99755142315915,2021-03-31,TCS.NS,0.09018546157139055,2021-03-31
2022-03-31,1415140000000.0,516680000000.0,570750000000.0,25.33871522888701,2022-03-31,TCS.NS,0.08770571803587655,2022-03-31
2023-03-31,1436510000000.0,524450000000.0,627080000000.0,24.11846108809623,2023-03-31,TCS.NS,0.08502167566132886,2023-03-31
2024-03-31,1464490000000.0,551300000000.0,677600000000.0,24.66862881030167,2024-03-31,TCS.NS,0.0886406082507266,2024-03-31
2020-03-31,,,,,2020-03-31,MARUTI.NS,,2020-03-31
2021-03-31,713761000000.0,188755000000.0,84391000000.0,3.4459918954283077,2021-03-31,MARUTI.NS,0.01030273939726403,2021-03-31
2022-03-31,746555000000.0,193220000000.0,76128000000.0,3.5016344013300644,2022-03-31,MARUTI.NS,0.007689735874289535,2022-03-31
2023-03-31,1003854000000.0,257852000000.0,155365000000.0,7.263230806013811,2023-03-31,MARUTI.NS,0.016723815753845163,2023-03-31
2024-03-31,1153508000000.0,297148000000.0,228739000000.0,9.822118082878701,2024-03-31,MARUTI.NS,0.0013849315708346958,2024-03-31
2020-03-31,,,,,2020-03-31,TATAMOTORS.NS,,2020-03-31
2021-03-31,3342794400000.0,2823658600000.0,193751300000.0,-3.096793504466457,2021-03-31,TATAMOTORS.NS,2.8237423229629712,2021-03-31
2022-03-31,3306199300000.0,2817876300000.0,271441400000.0,56.10379892138081,2022-03-31,TATAMOTORS.NS,3.3145179532706,2022-03-31
2023-03-31,3360813800000.0,2834818700000.0,384797700000.0,-2.0816532365375924,2023-03-31,TATAMOTORS.NS,3.0142995234742496,2023-03-31
2024-03-31,3706639600000.0,2775700300000.0,652110000000.0,2.318234054153517,2024-03-31,TATAMOTORS.NS,1.2931342487731108,2024-03-31
